# Enemies:      VIRUS; BUG; CD; DISK; DISK_BLUE; MAGNET; CONE; BOSS; BOSS_INTRO
# Patterns:     COLUMN; SNAKE; SNAKE_REV; MAG_SPLIT; ROW; STRAFER; PEELER; WARNING; BOSS_INTRO; BOSS
# Positions:    LL; L; LC; C; RC; R; RR; <int>
# Speeds:       SLOW; NORMAL; FAST; <float>
# ----------------------------------------------------------------------------------------

# Enemy, Shoots, Quantity, Speed, Pattern, Position, Sine Frequency, Sine Amplitude, Delay

# Magnet split.
MAGNET,NA,6,1.2,MAG_SPLIT,C,0,0,6000

# Disk columns
DISK,NA,6,1.6,COLUMN,L,0.1,120,2000
DISK_BLUE,NA,6,1.6,COLUMN,R,0.1,120,4000

# Disk columns.
CD,NA,6,1.6,SNAKE,L,0.1,120,2000
CD,NA,6,1.6,SNAKE,R,0.1,120,4000

# Disk crossover.
DISK,NA,6,1.3,SNAKE,C,0.04,1920,0
CD,NA,6,1.3,SNAKE_REV,C,0.04,1920,4000

# Blue delta.
DISK_BLUE,NA,1,0.7,COLUMN,LL,0.1,120,0
DISK_BLUE,NA,1,0.9,COLUMN,L,0.1,120,0
DISK_BLUE,NA,1,1.1,COLUMN,LC,0.1,120,0
DISK_BLUE,NA,1,1.3,COLUMN,C,0.1,120,0
DISK_BLUE,NA,1,1.1,COLUMN,CR,0.1,120,0
DISK_BLUE,NA,1,0.9,COLUMN,R,0.1,120,0
DISK_BLUE,NA,1,0.7,COLUMN,RR,0.1,120,4000

# Virus strafers
VIRUS,NA,3,0.7,STRAFER,L,0.01,200,1000
VIRUS,NA,3,0.7,STRAFER,R,0.01,200,8000

# Bug peelers
BUG,NA,6,1.1,PEELER,LL,0.015,200,3000
BUG,NA,6,1.1,PEELER,RR,0.015,200,1000

# Boss
BOSS_INTRO,NA,0,0,WARNING,C,0,0,0
BOSS_INTRO,NA,1,1.9,BOSS_INTRO,C,0,0,3500
BOSS,NA,1,0.6,BOSS,C,0,0,3000
